1,1000,4.000000
2,1000,4.500000
4,1000,4.250000
8,1000,4.125000
16,1000,8.937500
32,1000,17.468750
64,1000,18.484375
128,1000,16.796875
256,1000,29.972656
512,1000,10.482422
1024,1000,10.805664
2048,1000,19.574219
4096,1000,25.655762
1,100,0.000000
2,100,5.000000
4,100,2.500000
8,100,3.750000
16,100,10.625000
32,100,12.500000
64,100,13.906250
128,100,13.828125
256,100,14.882812
512,100,11.250000
1024,100,9.677734
2048,100,16.352539
4096,100,18.232422
8192,100,44.763184
16384,100,35.897827
32768,100,28.880920
65536,100,30.431519
1,100,0.000000
2,100,10.000000
4,100,2.500000
8,100,3.750000
16,100,8.750000
32,100,16.250000
64,100,21.718750
128,100,17.578125
256,100,18.750000
512,100,19.667969
1024,100,18.525391
2048,100,14.145508
4096,100,35.600586
8192,100,31.917725
16384,100,26.279907
32768,100,25.824280
65536,100,22.443848
